,Unnamed: 0,date,title,cleaned title
58,58,2021-12-01,Australia Tunda Buka Perbatasan akibat Varian Omicron,australia tunda buka batas akibat varian omicron
59,59,2021-12-01,"Hari AIDS Sedunia, Kenali Gejala HIV sejak Minggu Pertama Terinfeksi",hari aids dunia kenal gejala hiv sejak minggu pertama infeksi
60,60,2021-12-01,Cara Rian D'MASIV Tetap Aktif Bermusik dan Berbisnis di Masa Pandemi,cara rian dmasiv tetap aktif musik dan bisnis di masa pandemi
61,61,2021-12-01,"Raih Penghargaan FFI 2021, Film Nussa Bakal Tayang di Bioskop Online",raih harga ffi film nussa bakal tayang di bioskop online
62,62,2021-12-01,"Pembukaan Presidensi G20, Jokowi: Saya Undang Para Delegasi Datang ke Indonesia",buka presidensi g jokowi saya undang para delegasi datang ke indonesia
63,63,2021-12-01,"Laba Konsolidasi BUMN Capai Rp 61 Triliun, Industri Keuangan Penyumbang Terbesar",laba konsolidasi bumn capai rp triliun industri uang sumbang besar
64,64,2021-12-01,"22 Korban Penipuan Marinir Gadungan Berpangkat Mayjen Lapor ke Polisi, Kerugian Capai Rp 500 Juta",korban tipu marinir gadungan pangkat mayjen lapor ke polisi rugi capai rp juta
65,65,2021-12-01,6 Gejala Asam Urat yang Perlu Diwaspadai,gejala asam urat yang perlu waspada
66,66,2021-12-01,Kemenkes Sebut Varian Omicron Sudah Terdeteksi di 23 Negara,kemenkes sebut varian omicron sudah deteksi di negara
67,67,2021-12-01,"5 Restoran Fine Dining di Bali, Cocok untuk Liburan Romantis di Bali",restoran fine ning di bal cocok untuk libur romantis di bal
68,68,2021-12-01,BWF World Tour Finals: Marcus/Kevin Senang Revans atas Juara Olimpiade,bwf world tour finals marcuskevin senang revans atas juara olimpiade
69,69,2021-12-01,Sampah Antariksa Berkecepatan Tinggi Bikin Astronot Gagal Spacewalk,sampah antariksa cepat tinggi bikin astronot gagal spacewalk
